Product_ID,Product_Name,Size,Packaging_Quantity,Purchase_Price,GST_Percentage,Landed_Cost,Selling_Price,Customer_ID,Customer_Type,City,State,Order_ID,Order_Date,Sales_Channel,Quantity_Sold,Current_Stock,Restock_Priority,Delivery_Status
P004,Hinged Box,750ML,2000,3.01,18,3.55,5.04,C047,Returning,Nashik,Maharashtra,O00001,2025-11-20,Distributor,898,3121,3,On Time
P005,Hinged Box,1000ML,2000,3.4,18,4.01,5.88,C026,New,Ahmedabad,Gujarat,O00002,2025-09-08,Distributor,490,260,3,Delayed
P002,Hinged Box,375ML,1500,1.88,18,2.22,3.38,C050,Returning,Pune,Maharashtra,O00003,2025-03-30,Distributor,1395,4291,2,Delayed
P017,Round Container,500ML,1000,2.23,18,2.63,3.96,C160,Returning,Nashik,Maharashtra,O00004,2025-03-04,Distributor,633,3311,1,On Time
P008,Food Container,500ML,1500,2.76,18,3.26,4.03,C036,New,Ahmedabad,Gujarat,O00005,2025-12-12,Distributor,940,2978,6,Delayed
P014,Sauce Box,375ML,500,1.97,18,2.32,2.97,C142,New,Nashik,Maharashtra,O00006,2025-09-16,Direct,1777,33,6,Delayed
P019,Takeaway Box,750ML,1000,3.28,18,3.87,4.92,C005,New,Indore,Madhya Pradesh,O00007,2025-05-29,Direct,1390,582,6,Delayed
P017,Round Container,500ML,2000,2.74,18,3.23,4.62,C155,New,Nagpur,Maharashtra,O00008,2025-06-09,Direct,533,4929,6,Delayed
P016,Square Box,750ML,1000,3.2,18,3.78,4.68,C067,New,Bangalore,Karnataka,O00009,2025-04-29,Direct,1320,2502,4,On Time
P008,Food Container,500ML,1500,2.27,18,2.68,4.03,C200,New,Pune,Maharashtra,O00010,2025-10-15,Distributor,492,381,3,In Transit
P019,Takeaway Box,750ML,1500,3.57,18,4.21,5.33,C109,Returning,Hyderabad,Telangana,O00011,2025-09-03,Distributor,144,566,1,Delayed
P003,Hinged Box,500ML,1000,2.33,18,2.75,3.6,C162,Returning,Indore,Madhya Pradesh,O00012,2025-08-15,Direct,676,2447,3,In Transit
P018,Round Container,750ML,1000,2.91,18,3.43,4.8,C182,New,Pune,Maharashtra,O00013,2025-07-28,Direct,1017,4823,6,On Time
P015,Square Box,500ML,1500,2.34,18,2.76,4.16,C190,New,Aurangabad,Maharashtra,O00014,2025-12-27,Direct,380,122,6,Delayed
P019,Takeaway Box,750ML,500,2.59,18,3.06,4.51,C090,New,Mumbai,Maharashtra,O00015,2025-10-21,Distributor,240,3110,6,On Time
P008,Food Container,500ML,1000,2.51,18,2.96,3.72,C022,New,Pune,Maharashtra,O00016,2025-11-22,Direct,1050,1078,1,In Transit
P007,Meal Box,750ML,500,2.74,18,3.23,4.18,C037,Returning,Aurangabad,Maharashtra,O00017,2025-01-22,Distributor,1940,3933,5,In Transit
P012,Storage Box,1000ML,1500,3.7,18,4.37,5.98,C097,New,Mumbai,Maharashtra,O00018,2025-05-11,Direct,158,2039,2,Delayed
P020,Takeaway Box,1000ML,1000,3.95,18,4.66,5.76,C089,Returning,Nagpur,Maharashtra,O00019,2025-01-04,Distributor,1896,4003,2,In Transit
P014,Sauce Box,375ML,1000,2.18,18,2.57,3.24,C030,New,Aurangabad,Maharashtra,O00020,2025-06-12,Direct,1697,940,3,In Transit
P010,Food Container,1000ML,2000,3.5,18,4.13,6.16,C149,New,Nashik,Maharashtra,O00021,2025-01-05,Direct,330,2133,4,Delayed
P018,Round Container,750ML,500,2.67,18,3.15,4.4,C134,Returning,Indore,Madhya Pradesh,O00022,2025-09-05,Direct,148,2133,6,Delayed
P020,Takeaway Box,1000ML,500,3.44,18,4.06,5.28,C013,Returning,Indore,Madhya Pradesh,O00023,2025-06-26,Distributor,1425,3273,1,In Transit
P006,Meal Box,500ML,1500,2.36,18,2.78,4.16,C081,New,Bangalore,Karnataka,O00024,2025-10-18,Distributor,1735,753,3,On Time
P012,Storage Box,1000ML,500,3.12,18,3.68,5.06,C100,Returning,Pune,Maharashtra,O00025,2025-10-21,Distributor,112,1568,4,On Time
P010,Food Container,1000ML,1000,3.19,18,3.76,5.28,C048,Returning,Aurangabad,Maharashtra,O00026,2025-12-22,Direct,504,1770,6,Delayed
P012,Storage Box,1000ML,1000,3.66,18,4.32,5.52,C148,Returning,Nashik,Maharashtra,O00027,2025-10-28,Distributor,443,3570,2,On Time
P016,Square Box,750ML,1500,3.53,18,4.17,5.07,C079,Returning,Pune,Maharashtra,O00028,2025-11-05,Distributor,1079,2456,3,In Transit
P013,Sauce Box,250ML,1500,1.78,18,2.1,2.99,C054,New,Aurangabad,Maharashtra,O00029,2025-09-08,Distributor,768,2940,5,Delayed
P014,Sauce Box,375ML,2000,2.36,18,2.78,3.78,C151,Returning,Bangalore,Karnataka,O00030,2025-03-12,Direct,1466,233,2,In Transit
P009,Food Container,750ML,2000,3.19,18,3.76,5.18,C157,Returning,Delhi,Delhi,O00031,2025-03-29,Distributor,986,1543,1,In Transit
P006,Meal Box,500ML,1500,2.74,18,3.23,4.16,C009,Returning,Aurangabad,Maharashtra,O00032,2025-06-16,Direct,1648,3183,4,In Transit
P016,Square Box,750ML,2000,3.7,18,4.37,5.46,C154,New,Delhi,Delhi,O00033,2025-01-20,Distributor,1011,3232,1,On Time
P016,Square Box,750ML,1500,3.41,18,4.02,5.07,C178,Returning,Indore,Madhya Pradesh,O00034,2025-05-25,Distributor,803,1965,5,Delayed
P018,Round Container,750ML,2000,3.43,18,4.05,5.6,C132,New,Nashik,Maharashtra,O00035,2025-09-04,Direct,704,2625,3,On Time
P015,Square Box,500ML,1000,2.18,18,2.57,3.84,C071,New,Indore,Madhya Pradesh,O00036,2025-07-17,Distributor,91,2471,5,In Transit
P005,Hinged Box,1000ML,1500,3.13,18,3.69,5.46,C053,New,Hyderabad,Telangana,O00037,2025-04-14,Distributor,1714,1565,6,In Transit
P009,Food Container,750ML,1000,2.69,18,3.17,4.44,C041,Returning,Nashik,Maharashtra,O00038,2025-06-10,Distributor,923,3537,4,On Time
P006,Meal Box,500ML,500,2.36,18,2.78,3.52,C173,New,Indore,Madhya Pradesh,O00039,2025-01-11,Direct,962,3617,5,In Transit
P007,Meal Box,750ML,1500,3.12,18,3.68,4.94,C109,Returning,Indore,Madhya Pradesh,O00040,2025-01-27,Direct,953,444,1,In Transit
